v8-version,8,4,371,19,-node.17,0
shared-library,/home/r2/.nvm/versions/node/v14.15.4/bin/node,0x400000,0x424f000,0
shared-library,/usr/lib/x86_64-linux-gnu/libc.so.6,0x7f11660a6000,0x7f1166263000,0
shared-library,/usr/lib/x86_64-linux-gnu/libpthread.so.0,0x7f11662ce000,0x7f11662d0000,0
shared-library,/usr/lib/x86_64-linux-gnu/libgcc_s.so.1,0x7f11662d3000,0x7f11662ed000,0
shared-library,/usr/lib/x86_64-linux-gnu/libm.so.6,0x7f11662f3000,0x7f116637d000,0
shared-library,/usr/lib/x86_64-linux-gnu/libstdc++.so.6.0.30,0x7f11663da000,0x7f1166585000,0
shared-library,/usr/lib/x86_64-linux-gnu/libdl.so.2,0x7f1166606000,0x7f1166608000,0
shared-library,/usr/lib/x86_64-linux-gnu/ld-linux-x86-64.so.2,0x7f1166621000,0x7f116664d000,0
shared-library,[vdso],0x7ffd48dbc000,0x7ffd48dbe000,0
profiler,begin,1000
tick,0x1c6f3d0,552,0,0x0,6
tick,0xe943fd,1596,0,0x0,6
code-creation,Builtin,3,2016,0x1393b80,1632,RecordWrite
code-creation,Builtin,3,2030,0x1394200,424,EphemeronKeyBarrier
code-creation,Builtin,3,2055,0x13943c0,44,AdaptorWithBuiltinExitFrame
code-creation,Builtin,3,2058,0x1394400,291,ArgumentsAdaptorTrampoline
code-creation,Builtin,3,2062,0x1394540,207,CallFunction_ReceiverIsNullOrUndefined
code-creation,Builtin,3,2065,0x1394620,260,CallFunction_ReceiverIsNotNullOrUndefined
code-creation,Builtin,3,2069,0x1394740,289,CallFunction_ReceiverIsAny
code-creation,Builtin,3,2074,0x1394880,127,CallBoundFunction
code-creation,Builtin,3,2079,0x1394900,109,Call_ReceiverIsNullOrUndefined
code-creation,Builtin,3,2084,0x1394980,109,Call_ReceiverIsNotNullOrUndefined
code-creation,Builtin,3,2088,0x1394a00,109,Call_ReceiverIsAny
code-creation,Builtin,3,2091,0x1394a80,866,CallProxy
code-creation,Builtin,3,2095,0x1394e00,75,CallVarargs
code-creation,Builtin,3,2098,0x1394e60,1056,CallWithSpread
code-creation,Builtin,3,2101,0x13952a0,926,CallWithArrayLike
code-creation,Builtin,3,2106,0x1395640,100,CallForwardVarargs
code-creation,Builtin,3,2111,0x13956c0,100,CallFunctionForwardVarargs
code-creation,Builtin,3,2116,0x1395740,157,CallFunctionTemplate_CheckAccess
code-creation,Builtin,3,2120,0x13957e0,245,CallFunctionTemplate_CheckCompatibleReceiver
code-creation,Builtin,3,2123,0x13958e0,350,CallFunctionTemplate_CheckAccessAndCompatibleReceiver
code-creation,Builtin,3,2128,0x1395a40,26,ConstructFunction
code-creation,Builtin,3,2131,0x1395a60,127,ConstructBoundFunction
code-creation,Builtin,3,2136,0x1395ae0,28,ConstructedNonConstructable
code-creation,Builtin,3,2142,0x1395b00,90,Construct
code-creation,Builtin,3,2146,0x1395b60,75,ConstructVarargs
code-creation,Builtin,3,2149,0x1395bc0,1084,ConstructWithSpread
code-creation,Builtin,3,2152,0x1396000,1000,ConstructWithArrayLike
code-creation,Builtin,3,2156,0x1396400,139,ConstructForwardVarargs
code-creation,Builtin,3,2159,0x13964a0,139,ConstructFunctionForwardVarargs
code-creation,Builtin,3,2163,0x1396540,328,JSConstructStubGeneric
code-creation,Builtin,3,2168,0x13966a0,241,JSBuiltinsConstructStub
code-creation,Builtin,3,2174,0x13967a0,735,FastNewObject
code-creation,Builtin,3,2178,0x1396a80,305,FastNewClosure
code-creation,Builtin,3,2181,0x1396bc0,209,FastNewFunctionContextEval
code-creation,Builtin,3,2184,0x1396ca0,209,FastNewFunctionContextFunction
code-creation,Builtin,3,2188,0x1396d80,238,CreateRegExpLiteral
code-creation,Builtin,3,2191,0x1396e80,554,CreateEmptyArrayLiteral
code-creation,Builtin,3,2195,0x13970c0,1140,CreateShallowArrayLiteral
code-creation,Builtin,3,2198,0x1397540,1856,CreateShallowObjectLiteral
code-creation,Builtin,3,2201,0x1397ca0,854,ConstructProxy
code-creation,Builtin,3,2204,0x1398000,188,JSEntry
code-creation,Builtin,3,2207,0x13980c0,188,JSConstructEntry
code-creation,Builtin,3,2210,0x1398180,188,JSRunMicrotasksEntry
code-creation,Builtin,3,2213,0x1398240,95,JSEntryTrampoline
code-creation,Builtin,3,2217,0x13982a0,95,JSConstructEntryTrampoline
code-creation,Builtin,3,2220,0x1398300,307,ResumeGeneratorTrampoline
code-creation,Builtin,3,2224,0x1398440,1112,StringCodePointAt
code-creation,Builtin,3,2227,0x13988a0,1615,StringFromCodePointAt
code-creation,Builtin,3,2230,0x1398f00,552,StringEqual
code-creation,Builtin,3,2241,0x1399140,284,StringGreaterThan
code-creation,Builtin,3,2244,0x1399260,284,StringGreaterThanOrEqual
code-creation,Builtin,3,2247,0x1399380,1077,StringIndexOf
code-creation,Builtin,3,2250,0x13997c0,284,StringLessThan
code-creation,Builtin,3,2253,0x13998e0,284,StringLessThanOrEqual
code-creation,Builtin,3,2257,0x1399a00,2627,StringSubstring
code-creation,Builtin,3,2260,0x139a460,92,OrderedHashTableHealIndex
code-creation,Builtin,3,2263,0x139a4c0,920,InterpreterEntryTrampoline
code-creation,Builtin,3,2266,0x139a860,77,InterpreterPushArgsThenCall
code-creation,Builtin,3,2270,0x139a8c0,83,InterpreterPushUndefinedAndArgsThenCall
code-creation,Builtin,3,2274,0x139a920,80,InterpreterPushArgsThenCallWithFinalSpread
code-creation,Builtin,3,2278,0x139a980,77,InterpreterPushArgsThenConstruct
code-creation,Builtin,3,2281,0x139a9e0,77,InterpreterPushArgsThenConstructArrayFunction
code-creation,Builtin,3,2285,0x139aa40,80,InterpreterPushArgsThenConstructWithFinalSpread
code-creation,Builtin,3,2289,0x139aaa0,216,InterpreterEnterBytecodeAdvance
code-creation,Builtin,3,2293,0x139ab80,81,InterpreterEnterBytecodeDispatch
code-creation,Builtin,3,2296,0x139abe0,51,InterpreterOnStackReplacement
code-creation,Builtin,3,2300,0x139ac20,1061,CompileLazy
code-creation,Builtin,3,2303,0x139b060,92,CompileLazyDeoptimizedCode
code-creation,Builtin,3,2306,0x139b0c0,245,InstantiateAsmJs
code-creation,Builtin,3,2309,0x139b1c0,32,NotifyDeoptimized
code-creation,Builtin,3,2312,0x139b200,52,ContinueToCodeStubBuiltin
code-creation,Builtin,3,2316,0x139b240,60,ContinueToCodeStubBuiltinWithResult
code-creation,Builtin,3,2319,0x139b280,56,ContinueToJavaScriptBuiltin
code-creation,Builtin,3,2323,0x139b2c0,64,ContinueToJavaScriptBuiltinWithResult
code-creation,Builtin,3,2326,0x139b320,287,CallApiCallback
code-creation,Builtin,3,2329,0x139b440,269,CallApiGetter
code-creation,Builtin,3,2333,0x139b560,12,HandleApiCall
code-creation,Builtin,3,2336,0x139b580,12,HandleApiCallAsFunction
code-creation,Builtin,3,2339,0x139b5a0,12,HandleApiCallAsConstructor
code-creation,Builtin,3,2342,0x139b5c0,72,AllocateInYoungGeneration
code-creation,Builtin,3,2346,0x139b620,60,AllocateRegularInYoungGeneration
code-creation,Builtin,3,2349,0x139b660,72,AllocateInOldGeneration
code-creation,Builtin,3,2352,0x139b6c0,60,AllocateRegularInOldGeneration
code-creation,Builtin,3,2356,0x139b700,484,CopyFastSmiOrObjectElements
code-creation,Builtin,3,2359,0x139b900,563,GrowFastDoubleElements
code-creation,Builtin,3,2363,0x139bb40,442,GrowFastSmiOrObjectElements
code-creation,Builtin,3,2366,0x139bd00,353,NewArgumentsElements
code-creation,Builtin,3,2369,0x139be80,500,DebugBreakTrampoline
code-creation,Builtin,3,2372,0x139c080,141,FrameDropperTrampoline
code-creation,Builtin,3,2375,0x139c120,45,HandleDebuggerStatement
code-creation,Builtin,3,2379,0x139c160,254,ToObject
code-creation,Builtin,3,2382,0x139c260,100,ToBoolean
code-creation,Builtin,3,2385,0x139c2e0,269,OrdinaryToPrimitive_Number
code-creation,Builtin,3,2388,0x139c400,269,OrdinaryToPrimitive_String
