v8-version,8,4,371,19,-node.17,0
shared-library,/home/r2/.nvm/versions/node/v14.15.4/bin/node,0x400000,0x424f000,0
shared-library,/usr/lib/x86_64-linux-gnu/libc.so.6,0x7f5330d31000,0x7f5330eee000,0
shared-library,/usr/lib/x86_64-linux-gnu/libpthread.so.0,0x7f5330f59000,0x7f5330f5b000,0
shared-library,/usr/lib/x86_64-linux-gnu/libgcc_s.so.1,0x7f5330f5e000,0x7f5330f78000,0
shared-library,/usr/lib/x86_64-linux-gnu/libm.so.6,0x7f5330f7e000,0x7f5331008000,0
shared-library,/usr/lib/x86_64-linux-gnu/libstdc++.so.6.0.30,0x7f5331065000,0x7f5331210000,0
shared-library,/usr/lib/x86_64-linux-gnu/libdl.so.2,0x7f5331291000,0x7f5331293000,0
shared-library,/usr/lib/x86_64-linux-gnu/ld-linux-x86-64.so.2,0x7f53312ac000,0x7f53312d8000,0
shared-library,[vdso],0x7ffc6a88a000,0x7ffc6a88c000,0
profiler,begin,1000
tick,0x1c6f3d0,533,0,0x0,6
tick,0x10cbab0,1587,0,0x0,6
code-creation,Builtin,3,2109,0x1393b80,1632,RecordWrite
code-creation,Builtin,3,2126,0x1394200,424,EphemeronKeyBarrier
code-creation,Builtin,3,2130,0x13943c0,44,AdaptorWithBuiltinExitFrame
code-creation,Builtin,3,2133,0x1394400,291,ArgumentsAdaptorTrampoline
code-creation,Builtin,3,2136,0x1394540,207,CallFunction_ReceiverIsNullOrUndefined
code-creation,Builtin,3,2140,0x1394620,260,CallFunction_ReceiverIsNotNullOrUndefined
code-creation,Builtin,3,2144,0x1394740,289,CallFunction_ReceiverIsAny
code-creation,Builtin,3,2147,0x1394880,127,CallBoundFunction
code-creation,Builtin,3,2150,0x1394900,109,Call_ReceiverIsNullOrUndefined
code-creation,Builtin,3,2154,0x1394980,109,Call_ReceiverIsNotNullOrUndefined
code-creation,Builtin,3,2157,0x1394a00,109,Call_ReceiverIsAny
code-creation,Builtin,3,2181,0x1394a80,866,CallProxy
code-creation,Builtin,3,2184,0x1394e00,75,CallVarargs
code-creation,Builtin,3,2187,0x1394e60,1056,CallWithSpread
code-creation,Builtin,3,2190,0x13952a0,926,CallWithArrayLike
code-creation,Builtin,3,2193,0x1395640,100,CallForwardVarargs
code-creation,Builtin,3,2196,0x13956c0,100,CallFunctionForwardVarargs
code-creation,Builtin,3,2199,0x1395740,157,CallFunctionTemplate_CheckAccess
